"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story DDT","Search wiki by keyword test DDT","FAILURE","2023-05-02T21:01:16.2667553+03:00[Europe/Athens]","0.0","32.2"
"Search by keyword DDT ubb cluj","Search for valid query","ERROR","2023-05-04T15:05:59.7553987+03:00[Europe/Athens]","0.0","37.36"
"Search by keyword DDT ubb cluj","Search for invalid query","ERROR","2023-05-04T15:05:59.9779039+03:00[Europe/Athens]","0.0","12.29"
"Search by keyword ubb cluj DDT","Searching by keyword a should display the corresponding title","FAILURE","2023-05-04T15:39:02.8675914+03:00[Europe/Athens]","0.0","15.41"
"Search by keyword ubb cluj DDT","Searching by keyword orar should display the corresponding article","FAILURE","2023-05-04T15:39:19.0927104+03:00[Europe/Athens]","0.0","4.64"
"Search by keyword ubb cluj DDT","Searching by keyword b should display the corresponding title","FAILURE","2023-05-04T19:33:19.0056035+03:00[Europe/Athens]","0.0","12.05"
"Search by keyword ubb cluj DDT","Searching by keyword orar should display the corresponding article","FAILURE","2023-05-04T19:47:38.7403376+03:00[Europe/Athens]","0.0","8.39"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2023-05-04T19:53:20.7296443+03:00[Europe/Athens]","0.0","2.64"
"Select language ubb cluj DDT","Select change language should display the corresponding title in ro","FAILURE","2023-05-04T19:32:06.9977061+03:00[Europe/Athens]","0.0","12.07"
"Select language ubb cluj DDT","Select change language invalid should display the corresponding title in ro should fail","FAILURE","2023-05-04T19:51:58.3437342+03:00[Europe/Athens]","0.0","18.64"
"Select language ubb cluj DDT","Select change language should display the corresponding title in en","FAILURE","2023-05-04T19:51:58.5648655+03:00[Europe/Athens]","0.0","7.54"
